TradeId,Expiry,CP,2weeks2Mat,Strike,LocalCap,Book,Notional,PresentValueT0,assetId,deltaT0,gammaT0,vegaT0,PresentValueT1,deltaT1,gammaT1,vegaT1,dPx,ddelta,dgamma,dvega
1013762,2026-04-01,ZTES,132,1085.808,11,AXALIAB,10000000,1092933.866,.RUT,8 ,0.99,-109875.44,1101715.51,17.17,10.56,-96594.20,-0.000878165,-9.07055E-07,-9.5688E-07,-0.001328124
1020933,2025-04-16,ZTES,107,1178.089,10.9,AXALIAB,10000000,948256.9433,.RUT,1 ,-0.01,-101364.41,950541.01,0.89,0.00,-104975.42,-0.000228406,3.59096E-08,-6.98316E-10,0.000361102
1020941,2026-04-15,ZTES,133,1178.089,11,AXALIAB,10000000,1145419.218,.RUT,0 ,0.02,-118775.35,1136052.93,345.76,112.04,-96361.96,0.000936629,-3.45417E-05,-1.12016E-05,-0.002241339
1028826,2026-05-06,ZTES,134,1282.927,11,AXALIAB,10000000,1105428.806,.RUT,26 ,-0.30,-113498.45,1144819.39,7.78,-0.74,-118485.79,-0.003939058,1.78396E-06,4.40472E-08,0.000498734
1028828,2025-04-30,ZTES,108,1282.927,10.8,AXALIAB,10000000,887360.5614,.RUT,13 ,-0.33,-99186.92,865406.12,-6.07,-8.00,-46805.85,0.002195444,1.89284E-06,7.6687E-07,-0.005238107
1035066,2025-05-14,ZTES,109,1347.559,10.4,AXALIAB,10000000,808933.2116,.RUT,28 ,0.02,-100500.77,842489.07,24.64,-0.42,-102032.48,-0.003355586,3.72441E-07,4.3513E-08,0.000153171
1035068,2026-05-20,ZTES,135,1347.559,11,AXALIAB,10000000,1087656.413,.RUT,27 ,0.65,-117507.45,1116156.61,34.51,0.39,-114295.07,-0.00285002,-7.4729E-07,2.63171E-08,-0.000321238
1041140,2025-06-04,ZTES,110,1452.063,9.6,AXALIAB,10000000,641528.3316,.RUT,23 ,-20.91,-94041.99,641238.93,61.04,-0.50,-107460.88,2.89401E-05,-3.85118E-06,-2.04121E-06,0.001341889
1041143,2026-06-03,ZTES,136,1452.063,11,AXALIAB,10000000,1097282.367,.RUT,317 ,-79.69,-138995.42,1111365.24,67.91,-4.50,-126849.54,-0.001408287,2.49113E-05,-7.51835E-06,-0.001214588
1047315,2025-06-18,ZTES,111,1427.075,10.3,AXALIAB,10000000,808459.0069,.RUT,80 ,-14.52,-99794.45,807110.29,82.99,-0.98,-104667.64,0.000134872,-2.84207E-07,-1.35365E-06,0.000487319
1047322,2026-06-17,ZTES,137,1427.075,11,AXALIAB,10000000,1079594.223,.RUT,173 ,48.33,-120801.74,1105694.05,113.28,25.26,-84287.78,-0.002609982,5.94524E-06,2.30778E-06,-0.003651396
